2021-12-07 17:18:57,861 Loading dataset
2021-12-07 17:19:06,287 Loading dataset
2021-12-07 17:19:14,314 Loading dataset
2021-12-07 17:19:22,903 Loading dataset
2021-12-07 17:19:30,867 Loading dataset
2021-12-07 17:20:47,176 train metrics: {'mse': 0.795846403320149, 'rmse': 0.7640068710597091, 'r2': 0.8393291435375847, 'kendall_tau': 0.7535859081690122, 'kendall_tau_2_dec': 0.754459488336085, 'kendall_tau_1_dec': 0.7613557700042345, 'spearmanr': 0.9140392045676818, 'last_epoch_mse': 0.07937330951685721, 'last_epoch_rmse': 0.2817326916012006, 'last_epoch_r2': 0.8896546779929035, 'last_epoch_kendall_tau': 0.81839023856255, 'last_epoch_kendall_tau_2_dec': 0.8199345847868755, 'last_epoch_kendall_tau_1_dec': 0.830911890631774, 'last_epoch_spearmanr': 0.9529547349685742}
2021-12-07 17:20:47,177 valid metrics: {'mse': 1.0030427852723993, 'rmse': 0.8521618877789058, 'r2': 0.7943993328423525, 'kendall_tau': 0.7202599114296092, 'kendall_tau_2_dec': 0.7211105600334506, 'kendall_tau_1_dec': 0.7279493052327377, 'spearmanr': 0.890475796628319, 'last_epoch_mse': 0.09786511689913362, 'last_epoch_rmse': 0.31283400853988624, 'last_epoch_r2': 0.8562974731187567, 'last_epoch_kendall_tau': 0.780244504297899, 'last_epoch_kendall_tau_2_dec': 0.7816858543202624, 'last_epoch_kendall_tau_1_dec': 0.7926846885303521, 'last_epoch_spearmanr': 0.9307896397116363}
2021-12-07 17:21:49,032 train metrics: {'mse': 0.795846403320149, 'rmse': 0.7640068710597091, 'r2': 0.8393291435375847, 'kendall_tau': 0.7535859081690122, 'kendall_tau_2_dec': 0.754459488336085, 'kendall_tau_1_dec': 0.7613557700042345, 'spearmanr': 0.9140392045676818, 'last_epoch_mse': 0.07937330951685721, 'last_epoch_rmse': 0.2817326916012006, 'last_epoch_r2': 0.8896546779929035, 'last_epoch_kendall_tau': 0.81839023856255, 'last_epoch_kendall_tau_2_dec': 0.8199345847868755, 'last_epoch_kendall_tau_1_dec': 0.830911890631774, 'last_epoch_spearmanr': 0.9529547349685742}
2021-12-07 17:21:49,032 valid metrics: {'mse': 1.0030427852723993, 'rmse': 0.8521618877789058, 'r2': 0.7943993328423525, 'kendall_tau': 0.7202599114296092, 'kendall_tau_2_dec': 0.7211105600334506, 'kendall_tau_1_dec': 0.7279493052327377, 'spearmanr': 0.890475796628319, 'last_epoch_mse': 0.09786511689913362, 'last_epoch_rmse': 0.31283400853988624, 'last_epoch_r2': 0.8562974731187567, 'last_epoch_kendall_tau': 0.780244504297899, 'last_epoch_kendall_tau_2_dec': 0.7816858543202624, 'last_epoch_kendall_tau_1_dec': 0.7926846885303521, 'last_epoch_spearmanr': 0.9307896397116363}
2021-12-07 17:22:51,943 train metrics: {'mse': 0.795846403320149, 'rmse': 0.7640068710597091, 'r2': 0.8393291435375847, 'kendall_tau': 0.7535859081690122, 'kendall_tau_2_dec': 0.754459488336085, 'kendall_tau_1_dec': 0.7613557700042345, 'spearmanr': 0.9140392045676818, 'last_epoch_mse': 0.07937330951685721, 'last_epoch_rmse': 0.2817326916012006, 'last_epoch_r2': 0.8896546779929035, 'last_epoch_kendall_tau': 0.81839023856255, 'last_epoch_kendall_tau_2_dec': 0.8199345847868755, 'last_epoch_kendall_tau_1_dec': 0.830911890631774, 'last_epoch_spearmanr': 0.9529547349685742}
2021-12-07 17:22:51,943 valid metrics: {'mse': 1.0030427852723993, 'rmse': 0.8521618877789058, 'r2': 0.7943993328423525, 'kendall_tau': 0.7202599114296092, 'kendall_tau_2_dec': 0.7211105600334506, 'kendall_tau_1_dec': 0.7279493052327377, 'spearmanr': 0.890475796628319, 'last_epoch_mse': 0.09786511689913362, 'last_epoch_rmse': 0.31283400853988624, 'last_epoch_r2': 0.8562974731187567, 'last_epoch_kendall_tau': 0.780244504297899, 'last_epoch_kendall_tau_2_dec': 0.7816858543202624, 'last_epoch_kendall_tau_1_dec': 0.7926846885303521, 'last_epoch_spearmanr': 0.9307896397116363}
2021-12-07 17:23:54,182 train metrics: {'mse': 0.795846403320149, 'rmse': 0.7640068710597091, 'r2': 0.8393291435375847, 'kendall_tau': 0.7535859081690122, 'kendall_tau_2_dec': 0.754459488336085, 'kendall_tau_1_dec': 0.7613557700042345, 'spearmanr': 0.9140392045676818, 'last_epoch_mse': 0.07937330951685721, 'last_epoch_rmse': 0.2817326916012006, 'last_epoch_r2': 0.8896546779929035, 'last_epoch_kendall_tau': 0.81839023856255, 'last_epoch_kendall_tau_2_dec': 0.8199345847868755, 'last_epoch_kendall_tau_1_dec': 0.830911890631774, 'last_epoch_spearmanr': 0.9529547349685742}
2021-12-07 17:23:54,182 valid metrics: {'mse': 1.0030427852723993, 'rmse': 0.8521618877789058, 'r2': 0.7943993328423525, 'kendall_tau': 0.7202599114296092, 'kendall_tau_2_dec': 0.7211105600334506, 'kendall_tau_1_dec': 0.7279493052327377, 'spearmanr': 0.890475796628319, 'last_epoch_mse': 0.09786511689913362, 'last_epoch_rmse': 0.31283400853988624, 'last_epoch_r2': 0.8562974731187567, 'last_epoch_kendall_tau': 0.780244504297899, 'last_epoch_kendall_tau_2_dec': 0.7816858543202624, 'last_epoch_kendall_tau_1_dec': 0.7926846885303521, 'last_epoch_spearmanr': 0.9307896397116363}
2021-12-07 17:24:55,669 train metrics: {'mse': 0.795846403320149, 'rmse': 0.7640068710597091, 'r2': 0.8393291435375847, 'kendall_tau': 0.7535859081690122, 'kendall_tau_2_dec': 0.754459488336085, 'kendall_tau_1_dec': 0.7613557700042345, 'spearmanr': 0.9140392045676818, 'last_epoch_mse': 0.07937330951685721, 'last_epoch_rmse': 0.2817326916012006, 'last_epoch_r2': 0.8896546779929035, 'last_epoch_kendall_tau': 0.81839023856255, 'last_epoch_kendall_tau_2_dec': 0.8199345847868755, 'last_epoch_kendall_tau_1_dec': 0.830911890631774, 'last_epoch_spearmanr': 0.9529547349685742}
2021-12-07 17:24:55,669 valid metrics: {'mse': 1.0030427852723993, 'rmse': 0.8521618877789058, 'r2': 0.7943993328423525, 'kendall_tau': 0.7202599114296092, 'kendall_tau_2_dec': 0.7211105600334506, 'kendall_tau_1_dec': 0.7279493052327377, 'spearmanr': 0.890475796628319, 'last_epoch_mse': 0.09786511689913362, 'last_epoch_rmse': 0.31283400853988624, 'last_epoch_r2': 0.8562974731187567, 'last_epoch_kendall_tau': 0.780244504297899, 'last_epoch_kendall_tau_2_dec': 0.7816858543202624, 'last_epoch_kendall_tau_1_dec': 0.7926846885303521, 'last_epoch_spearmanr': 0.9307896397116363}
2021-12-07 17:24:59,369 test metrics {'mse': 1.0306022910106871, 'rmse': 0.8597231788036959, 'r2': 0.7919249993578117, 'kendall_tau': 0.7216596139525913, 'kendall_tau_2_dec': 0.7225211325570473, 'kendall_tau_1_dec': 0.7294010898556805, 'spearmanr': 0.8908986737651433, 'last_epoch_mse': 0.08932055702768692, 'last_epoch_rmse': 0.29886544970552703, 'last_epoch_r2': 0.8628722856391541, 'last_epoch_kendall_tau': 0.7849629059103157, 'last_epoch_kendall_tau_2_dec': 0.7864778592552261, 'last_epoch_kendall_tau_1_dec': 0.797521011846558, 'last_epoch_spearmanr': 0.9336042123259336}
